Season;Direction;Player;Age;Position;Nationality;From Club;To Club;Fee (raw);Fee Type;Fee (EUR);Market Value
2023/24;Departure;Nathaniel Brown;20;Left-Back;Germany;;1.FC Nuremberg;loan transfer;loan;;loan transfer
2023/24;Departure;Jens Petter Hauge;24;Left Winger;Norway;;Bodï¿½ï¿½ï¿;loan transfer;loan;;loan transfer
2023/24;Departure;Faride Alidou;22;Left Winger;Germany;;1.FC Kï¿½ï;loan transfer;loan;;loan transfer
2023/24;Departure;Jï¿½ï¿½ï¿½ï¿½ï¿½ï¿;25;Centre-Back;Cameroon;;Servette FC;loan transfer;loan;;loan transfer
2023/24;Departure;Igor Matanovic;20;Centre-Forward;Croatia;;Karlsruher SC;loan transfer;loan;;loan transfer
2023/24;Departure;Marcel Wenig;19;Central Midfield;Germany;;1.FC Nuremberg;loan transfer;loan;;loan transfer
2023/24;Departure;Almamy Tourï¿;27;Centre-Back;Mali;;Without Club;-;undisclosed;;-
2023/24;Departure;Junior Dina Ebimbe;22;Right Midfield;France;;Paris SG;End of loan30.06.2023;loan_return;0.0;End of loan30.06.2023
2023/24;Departure;Ansgar Knauff;21;Right Winger;Germany;;Bor. Dortmund;End of loan30.06.2023;loan_return;0.0;End of loan30.06.2023
2023/24;Departure;Philipp Max;29;Left-Back;Germany;;PSV Eindhoven;End of loan30.06.2023;loan_return;0.0;End of loan30.06.2023
2024/25;Arrival;Hugo Ekitikï¿;22;Centre-Forward;France;Paris SG;;ýýý31.50m;transfer;31500000.0;ýýý31.50m
2024/25;Arrival;Elye Wahi;22;Centre-Forward;France;Marseille;;ýýý26.00m;transfer;26000000.0;ýýý26.00m
2024/25;Arrival;Arthur Theate;24;Centre-Back;Belgium;Stade Rennais;;ýýý13.00m;transfer;13000000.0;ýýý13.00m
2024/25;Arrival;Can Uzun;18;Attacking Midfield;Tï¿½ï¿½ï;1.FC Nuremberg;;ýýý11.00m;transfer;11000000.0;ýýý11.00m
2024/25;Arrival;Krisztiï¿½ï¿½ï¿½ï¿;19;Attacking Midfield;Hungary;Ferencvï¿½ï¿;;ýýý6.00m;transfer;6000000.0;ýýý6.00m
2024/25;Arrival;Michy Batshuayi;31;Centre-Forward;Belgium;Galatasaray;;ýýý3.00m;transfer;3000000.0;ýýý3.00m
2024/25;Arrival;Oscar Hï¿½ï¿½ï;19;Central Midfield;Denmark;FC Copenhagen;;ýýý1.35m;transfer;1350000.0;ýýý1.35m
2024/25;Arrival;Robin Koch;27;Centre-Back;Germany;Leeds;;free transfer;free;0.0;free transfer
2024/25;Arrival;Mahmoud Dahoud;28;Central Midfield;Syria;Brighton;;free transfer;free;0.0;free transfer
2024/25;Arrival;Arthur Theate;24;Centre-Back;Belgium;Stade Rennais;;loan transfer;loan;;loan transfer
2024/25;Arrival;Rasmus Kristensen;27;Right-Back;Denmark;Leeds;;loan transfer;loan;;loan transfer
2024/25;Arrival;Aurï¿½ï¿½ï¿½ï¿;20;Centre-Back;Switzerland;BSC Young Boys;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Arrival;Kristijan Jakic;27;Defensive Midfield;Croatia;FC Augsburg;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Arrival;Igor Matanovic;21;Centre-Forward;Croatia;Karlsruher SC;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Arrival;Jens Petter Hauge;25;Left Winger;Norway;Bodï¿½ï¿½ï¿;;End of loan31.12.2024;loan_return;0.0;End of loan31.12.2024
2024/25;Arrival;Paxten Aaronson;20;Attacking Midfield;United States;Vitesse;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
